instruction,input,output,text
"In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM","By using well calibrated probabilities , we are able to estimate the sense priors effectively to achieve significant improvements in WSD accuracy .","The entities 'well calibrated probabilities' of type OTHERSCIENTIFICTERM, 'sense priors' of type OTHERSCIENTIFICTERM and 'WSD accuracy' of type METRIC are identified from the given text.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM ### Input: By using well calibrated probabilities , we are able to estimate the sense priors effectively to achieve significant improvements in WSD accuracy . ### Response: The entities 'well calibrated probabilities' of type OTHERSCIENTIFICTERM, 'sense priors' of type OTHERSCIENTIFICTERM and 'WSD accuracy' of type METRIC are identified from the given text."
"In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM",In this paper we deal with a recently developed large Czech MWE database containing at the moment 160 000 MWEs -LRB- treated as lexical units -RRB- .,"The entities 'large Czech MWE database' of type MATERIAL, 'MWEs' of type OTHERSCIENTIFICTERM and 'lexical units' of type OTHERSCIENTIFICTERM are identified from the given text.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM ### Input: In this paper we deal with a recently developed large Czech MWE database containing at the moment 160 000 MWEs -LRB- treated as lexical units -RRB- . ### Response: The entities 'large Czech MWE database' of type MATERIAL, 'MWEs' of type OTHERSCIENTIFICTERM and 'lexical units' of type OTHERSCIENTIFICTERM are identified from the given text."
"In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM","It was compiled from various resources such as encyclopedias and dictionaries , public databases of proper names and toponyms , collocations obtained from Czech WordNet , lists of botanical and zoological terms and others .","The entities 'It' of type GENERIC, 'encyclopedias' of type MATERIAL, 'dictionaries' of type MATERIAL, 'public databases of proper names and toponyms' of type MATERIAL, 'collocations' of type GENERIC, 'Czech WordNet' of type MATERIAL and 'lists of botanical and zoological terms' of type MATERIAL are identified from the given text.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM ### Input: It was compiled from various resources such as encyclopedias and dictionaries , public databases of proper names and toponyms , collocations obtained from Czech WordNet , lists of botanical and zoological terms and others . ### Response: The entities 'It' of type GENERIC, 'encyclopedias' of type MATERIAL, 'dictionaries' of type MATERIAL, 'public databases of proper names and toponyms' of type MATERIAL, 'collocations' of type GENERIC, 'Czech WordNet' of type MATERIAL and 'lists of botanical and zoological terms' of type MATERIAL are identified from the given text."
"In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM",We describe the structure of the database and give basic types of MWEs according to domains they belong to .,The entities 'database' of type GENERIC and 'MWEs' of type OTHERSCIENTIFICTERM are identified from the given text.,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM ### Input: We describe the structure of the database and give basic types of MWEs according to domains they belong to . ### Response: The entities 'database' of type GENERIC and 'MWEs' of type OTHERSCIENTIFICTERM are identified from the given text."
"In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM",We compare the built MWEs database with the corpus data from Czech National Corpus -LRB- approx .,The entities 'MWEs database' of type MATERIAL and 'Czech National Corpus' of type MATERIAL are identified from the given text.,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM ### Input: We compare the built MWEs database with the corpus data from Czech National Corpus -LRB- approx . ### Response: The entities 'MWEs database' of type MATERIAL and 'Czech National Corpus' of type MATERIAL are identified from the given text."
"In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM",100 mil .,There are no entities in the given text.,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM ### Input: 100 mil . ### Response: There are no entities in the given text."
"In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM",tokens -RRB- and present results of this comparison in the paper .,There are no entities in the given text.,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM ### Input: tokens -RRB- and present results of this comparison in the paper . ### Response: There are no entities in the given text."
"In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM",These MWEs have not been obtained from the corpus since their frequencies in it are rather low .,The entities 'MWEs' of type OTHERSCIENTIFICTERM and 'corpus' of type GENERIC are identified from the given text.,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM ### Input: These MWEs have not been obtained from the corpus since their frequencies in it are rather low . ### Response: The entities 'MWEs' of type OTHERSCIENTIFICTERM and 'corpus' of type GENERIC are identified from the given text."
"In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM","To obtain a more complete list of MWEs we propose and use a technique exploiting the Word Sketch Engine , which allows us to work with statistical parameters such as frequency of MWEs and their components as well as with the salience for the whole MWEs .","The entities 'MWEs' of type OTHERSCIENTIFICTERM, 'technique' of type GENERIC, 'Word Sketch Engine' of type TASK, 'statistical parameters' of type OTHERSCIENTIFICTERM, 'MWEs' of type OTHERSCIENTIFICTERM and 'MWEs' of type OTHERSCIENTIFICTERM are identified from the given text.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM ### Input: To obtain a more complete list of MWEs we propose and use a technique exploiting the Word Sketch Engine , which allows us to work with statistical parameters such as frequency of MWEs and their components as well as with the salience for the whole MWEs . ### Response: The entities 'MWEs' of type OTHERSCIENTIFICTERM, 'technique' of type GENERIC, 'Word Sketch Engine' of type TASK, 'statistical parameters' of type OTHERSCIENTIFICTERM, 'MWEs' of type OTHERSCIENTIFICTERM and 'MWEs' of type OTHERSCIENTIFICTERM are identified from the given text."
"In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM",We also discuss exploitation of the database for working out a more adequate tagging and lemmatization .,"The entities 'database' of type GENERIC, 'tagging' of type TASK and 'lemmatization' of type TASK are identified from the given text.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM ### Input: We also discuss exploitation of the database for working out a more adequate tagging and lemmatization . ### Response: The entities 'database' of type GENERIC, 'tagging' of type TASK and 'lemmatization' of type TASK are identified from the given text."
"In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM","The final goal is to be able to recognize MWEs in corpus text and lemmatize them as complete lexical units , i. e. to make tagging and lemmatization more adequate .","The entities 'MWEs' of type OTHERSCIENTIFICTERM, 'them' of type GENERIC, 'lexical units' of type OTHERSCIENTIFICTERM, 'tagging' of type TASK and 'lemmatization' of type TASK are identified from the given text.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM ### Input: The final goal is to be able to recognize MWEs in corpus text and lemmatize them as complete lexical units , i. e. to make tagging and lemmatization more adequate . ### Response: The entities 'MWEs' of type OTHERSCIENTIFICTERM, 'them' of type GENERIC, 'lexical units' of type OTHERSCIENTIFICTERM, 'tagging' of type TASK and 'lemmatization' of type TASK are identified from the given text."
"In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM","We describe the ongoing construction of a large , semantically annotated corpus resource as reliable basis for the large-scale acquisition of word-semantic information , e.g. the construction of domain-independent lexica .","The entities 'semantically annotated corpus' of type MATERIAL, 'large-scale acquisition of word-semantic information' of type TASK and 'construction of domain-independent lexica' of type TASK are identified from the given text.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM ### Input: We describe the ongoing construction of a large , semantically annotated corpus resource as reliable basis for the large-scale acquisition of word-semantic information , e.g. the construction of domain-independent lexica . ### Response: The entities 'semantically annotated corpus' of type MATERIAL, 'large-scale acquisition of word-semantic information' of type TASK and 'construction of domain-independent lexica' of type TASK are identified from the given text."
"In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM",The backbone of the annotation are semantic roles in the frame semantics paradigm .,"The entities 'annotation' of type OTHERSCIENTIFICTERM, 'semantic roles' of type OTHERSCIENTIFICTERM and 'frame semantics paradigm' of type METHOD are identified from the given text.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM ### Input: The backbone of the annotation are semantic roles in the frame semantics paradigm . ### Response: The entities 'annotation' of type OTHERSCIENTIFICTERM, 'semantic roles' of type OTHERSCIENTIFICTERM and 'frame semantics paradigm' of type METHOD are identified from the given text."
"In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM",We report experiences and evaluate the annotated data from the first project stage .,The entity 'annotated data' of type MATERIAL is identified from the given text.,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM ### Input: We report experiences and evaluate the annotated data from the first project stage . ### Response: The entity 'annotated data' of type MATERIAL is identified from the given text."
"In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM","On this basis , we discuss the problems of vagueness and ambiguity in semantic annotation .","The entities 'vagueness' of type OTHERSCIENTIFICTERM, 'ambiguity' of type OTHERSCIENTIFICTERM and 'semantic annotation' of type METHOD are identified from the given text.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM ### Input: On this basis , we discuss the problems of vagueness and ambiguity in semantic annotation . ### Response: The entities 'vagueness' of type OTHERSCIENTIFICTERM, 'ambiguity' of type OTHERSCIENTIFICTERM and 'semantic annotation' of type METHOD are identified from the given text."
"In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM",Statistical machine translation -LRB- SMT -RRB- is currently one of the hot spots in natural language processing .,The entities 'Statistical machine translation -LRB- SMT -RRB-' of type METHOD and 'natural language processing' of type TASK are identified from the given text.,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM ### Input: Statistical machine translation -LRB- SMT -RRB- is currently one of the hot spots in natural language processing . ### Response: The entities 'Statistical machine translation -LRB- SMT -RRB-' of type METHOD and 'natural language processing' of type TASK are identified from the given text."
"In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM","Over the last few years dramatic improvements have been made , and a number of comparative evaluations have shown , that SMT gives competitive results to rule-based translation systems , requiring significantly less development time .",The entities 'SMT' of type METHOD and 'rule-based translation systems' of type METHOD are identified from the given text.,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM ### Input: Over the last few years dramatic improvements have been made , and a number of comparative evaluations have shown , that SMT gives competitive results to rule-based translation systems , requiring significantly less development time . ### Response: The entities 'SMT' of type METHOD and 'rule-based translation systems' of type METHOD are identified from the given text."
"In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM",This is particularly important when building translation systems for new language pairs or new domains .,"The entities 'translation systems' of type TASK, 'new language pairs' of type OTHERSCIENTIFICTERM and 'new domains' of type OTHERSCIENTIFICTERM are identified from the given text.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM ### Input: This is particularly important when building translation systems for new language pairs or new domains . ### Response: The entities 'translation systems' of type TASK, 'new language pairs' of type OTHERSCIENTIFICTERM and 'new domains' of type OTHERSCIENTIFICTERM are identified from the given text."
"In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM",This workshop is intended to give an introduction to statistical machine translation with a focus on practical considerations .,The entity 'statistical machine translation' of type METHOD is identified from the given text.,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM ### Input: This workshop is intended to give an introduction to statistical machine translation with a focus on practical considerations . ### Response: The entity 'statistical machine translation' of type METHOD is identified from the given text."
"In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM","Participants should be able , after attending this workshop , to set out building an SMT system themselves and achieving good baseline results in a short time .",The entity 'SMT system' of type METHOD is identified from the given text.,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM ### Input: Participants should be able , after attending this workshop , to set out building an SMT system themselves and achieving good baseline results in a short time . ### Response: The entity 'SMT system' of type METHOD is identified from the given text."
"In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM",The tutorial will cover the basics of SMT : Theory will be put into practice .,The entity 'SMT' of type METHOD is identified from the given text.,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM ### Input: The tutorial will cover the basics of SMT : Theory will be put into practice . ### Response: The entity 'SMT' of type METHOD is identified from the given text."
"In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM","STTK , a statistical machine translation tool kit , will be introduced and used to build a working translation system .","The entities 'STTK' of type METHOD, 'statistical machine translation tool kit' of type METHOD and 'translation system' of type TASK are identified from the given text.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM ### Input: STTK , a statistical machine translation tool kit , will be introduced and used to build a working translation system . ### Response: The entities 'STTK' of type METHOD, 'statistical machine translation tool kit' of type METHOD and 'translation system' of type TASK are identified from the given text."
"In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM",STTK has been developed by the presenter and co-workers over a number of years and is currently used as the basis of CMU 's SMT system .,The entities 'STTK' of type METHOD and 'SMT system' of type METHOD are identified from the given text.,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM ### Input: STTK has been developed by the presenter and co-workers over a number of years and is currently used as the basis of CMU 's SMT system . ### Response: The entities 'STTK' of type METHOD and 'SMT system' of type METHOD are identified from the given text."
"In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM",It has also successfully been coupled with rule-based and example based machine translation modules to build a multi engine machine translation system .,"The entities 'It' of type GENERIC, 'rule-based and example based machine translation modules' of type METHOD and 'multi engine machine translation system' of type TASK are identified from the given text.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM ### Input: It has also successfully been coupled with rule-based and example based machine translation modules to build a multi engine machine translation system . ### Response: The entities 'It' of type GENERIC, 'rule-based and example based machine translation modules' of type METHOD and 'multi engine machine translation system' of type TASK are identified from the given text."
"In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM",The source code of the tool kit will be made available .,The entity 'tool kit' of type GENERIC is identified from the given text.,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM ### Input: The source code of the tool kit will be made available . ### Response: The entity 'tool kit' of type GENERIC is identified from the given text."
"In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM",This paper presents an unsupervised learning approach to building a non-English -LRB- Arabic -RRB- stemmer .,The entities 'unsupervised learning approach' of type METHOD and 'non-English -LRB- Arabic -RRB- stemmer' of type TASK are identified from the given text.,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM ### Input: This paper presents an unsupervised learning approach to building a non-English -LRB- Arabic -RRB- stemmer . ### Response: The entities 'unsupervised learning approach' of type METHOD and 'non-English -LRB- Arabic -RRB- stemmer' of type TASK are identified from the given text."
"In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM",The stemming model is based on statistical machine translation and it uses an English stemmer and a small -LRB- 10K sentences -RRB- parallel corpus as its sole training resources .,"The entities 'stemming model' of type METHOD, 'statistical machine translation' of type METHOD, 'it' of type GENERIC, 'English stemmer' of type METHOD and 'parallel corpus' of type MATERIAL are identified from the given text.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM ### Input: The stemming model is based on statistical machine translation and it uses an English stemmer and a small -LRB- 10K sentences -RRB- parallel corpus as its sole training resources . ### Response: The entities 'stemming model' of type METHOD, 'statistical machine translation' of type METHOD, 'it' of type GENERIC, 'English stemmer' of type METHOD and 'parallel corpus' of type MATERIAL are identified from the given text."
"In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM",No parallel text is needed after the training phase .,The entity 'parallel text' of type MATERIAL is identified from the given text.,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM ### Input: No parallel text is needed after the training phase . ### Response: The entity 'parallel text' of type MATERIAL is identified from the given text."
"In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM","Monolingual , unannotated text can be used to further improve the stemmer by allowing it to adapt to a desired domain or genre .","The entities 'Monolingual , unannotated text' of type MATERIAL, 'stemmer' of type METHOD and 'it' of type GENERIC are identified from the given text.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM ### Input: Monolingual , unannotated text can be used to further improve the stemmer by allowing it to adapt to a desired domain or genre . ### Response: The entities 'Monolingual , unannotated text' of type MATERIAL, 'stemmer' of type METHOD and 'it' of type GENERIC are identified from the given text."
"In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM","Examples and results will be given for Arabic , but the approach is applicable to any language that needs affix removal .","The entities 'Arabic' of type MATERIAL, 'approach' of type GENERIC and 'affix removal' of type OTHERSCIENTIFICTERM are identified from the given text.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM ### Input: Examples and results will be given for Arabic , but the approach is applicable to any language that needs affix removal . ### Response: The entities 'Arabic' of type MATERIAL, 'approach' of type GENERIC and 'affix removal' of type OTHERSCIENTIFICTERM are identified from the given text."
"In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM","Our resource-frugal approach results in 87.5 % agreement with a state of the art , proprietary Arabic stemmer built using rules , affix lists , and human annotated text , in addition to an unsupervised component .","The entities 'resource-frugal approach' of type METHOD, 'agreement' of type METRIC, 'Arabic stemmer' of type METHOD, 'rules' of type OTHERSCIENTIFICTERM, 'affix lists' of type MATERIAL, 'human annotated text' of type MATERIAL and 'unsupervised component' of type METHOD are identified from the given text.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM ### Input: Our resource-frugal approach results in 87.5 % agreement with a state of the art , proprietary Arabic stemmer built using rules , affix lists , and human annotated text , in addition to an unsupervised component . ### Response: The entities 'resource-frugal approach' of type METHOD, 'agreement' of type METRIC, 'Arabic stemmer' of type METHOD, 'rules' of type OTHERSCIENTIFICTERM, 'affix lists' of type MATERIAL, 'human annotated text' of type MATERIAL and 'unsupervised component' of type METHOD are identified from the given text."
"In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM","Task-based evaluation using Arabic information retrieval indicates an improvement of 22-38 % in average precision over unstemmed text , and 96 % of the performance of the proprietary stemmer above .","The entities 'Task-based evaluation' of type METHOD, 'Arabic information retrieval' of type TASK, 'average precision' of type METRIC, 'unstemmed text' of type MATERIAL and 'stemmer' of type METHOD are identified from the given text.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM ### Input: Task-based evaluation using Arabic information retrieval indicates an improvement of 22-38 % in average precision over unstemmed text , and 96 % of the performance of the proprietary stemmer above . ### Response: The entities 'Task-based evaluation' of type METHOD, 'Arabic information retrieval' of type TASK, 'average precision' of type METRIC, 'unstemmed text' of type MATERIAL and 'stemmer' of type METHOD are identified from the given text."
"In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM",The paper assesses the capability of an HMM-based TTS system to produce German speech .,The entities 'HMM-based TTS system' of type METHOD and 'German speech' of type MATERIAL are identified from the given text.,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM ### Input: The paper assesses the capability of an HMM-based TTS system to produce German speech . ### Response: The entities 'HMM-based TTS system' of type METHOD and 'German speech' of type MATERIAL are identified from the given text."
"In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM","The results are discussed in qualitative terms , and compared over three different choices of context features .",The entity 'context features' of type OTHERSCIENTIFICTERM is identified from the given text.,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM ### Input: The results are discussed in qualitative terms , and compared over three different choices of context features . ### Response: The entity 'context features' of type OTHERSCIENTIFICTERM is identified from the given text."
"In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM","In addition , the system is adapted to a small set of football announcements , in an exploratory attempt to synthe-sise expressive speech .","The entities 'system' of type GENERIC, 'football announcements' of type MATERIAL and 'expressive speech' of type MATERIAL are identified from the given text.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM ### Input: In addition , the system is adapted to a small set of football announcements , in an exploratory attempt to synthe-sise expressive speech . ### Response: The entities 'system' of type GENERIC, 'football announcements' of type MATERIAL and 'expressive speech' of type MATERIAL are identified from the given text."
"In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM","We conclude that the HMMs are able to produce highly intelligible neutral German speech , with a stable quality , and that the expressivity is partially captured in spite of the small size of the football dataset .","The entities 'HMMs' of type METHOD, 'intelligible neutral German speech' of type MATERIAL and 'football dataset' of type MATERIAL are identified from the given text.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM ### Input: We conclude that the HMMs are able to produce highly intelligible neutral German speech , with a stable quality , and that the expressivity is partially captured in spite of the small size of the football dataset . ### Response: The entities 'HMMs' of type METHOD, 'intelligible neutral German speech' of type MATERIAL and 'football dataset' of type MATERIAL are identified from the given text."
"In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM",We give an analysis of ellipsis resolution in terms of a straightforward discourse copying algorithm that correctly predicts a wide range of phenomena .,The entities 'analysis of ellipsis resolution' of type TASK and 'discourse copying algorithm' of type METHOD are identified from the given text.,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request. ### Instruction: In the given sentence, find the entities of possible types - TASK, MATERIAL, METHOD, METRIC, GENERIC, OTHERSCIENTIFICTERM ### Input: We give an analysis of ellipsis resolution in terms of a straightforward discourse copying algorithm that correctly predicts a wide range of phenomena . ### Response: The entities 'analysis of ellipsis resolution' of type TASK and 'discourse copying algorithm' of type METHOD are identified from the given text."
